episode,epsilon,episode_reward,avg_loss,win,replay_size,global_step
311.0,0.7201,-3.0,0.084444364000644,1.0,1000.0,6296.0
312.0,0.7192000000000001,-11.0,0.08083781227469444,0.0,1000.0,6298.0
313.0,0.7182999999999999,-19.0,0.08456287011504174,0.0,1000.0,6308.0
314.0,0.7174,-11.0,0.07449812069535255,0.0,1000.0,6310.0
315.0,0.7164999999999999,-6.0,0.09639274022158455,1.0,1000.0,6327.0
316.0,0.7156,0.0,0.07680420916188847,1.0,1000.0,6338.0
317.0,0.7147,4.0,0.07658211354698453,1.0,1000.0,6345.0
318.0,0.7138,-16.0,0.08012298066858892,1.0,1000.0,6372.0
319.0,0.7129,-25.0,0.0760968686081469,0.0,1000.0,6388.0
320.0,0.712,-10.0,0.08034040690177963,1.0,1000.0,6409.0
321.0,0.7111000000000001,-30.0,0.08175013648966949,0.0,1000.0,6439.0
322.0,0.7101999999999999,-13.0,0.06893015466630459,0.0,1000.0,6443.0
323.0,0.7093,-19.0,0.07650523260235786,0.0,1000.0,6453.0
324.0,0.7083999999999999,2.0,0.08007784767283334,1.0,1000.0,6462.0
325.0,0.7075,-5.0,0.07600307650864124,1.0,1000.0,6478.0
326.0,0.7066,-3.0,0.08567901221769196,1.0,1000.0,6492.0
327.0,0.7057,-13.0,0.07543667126446962,0.0,1000.0,6496.0
328.0,0.7048,-10.0,0.08298896572419576,1.0,1000.0,6517.0
329.0,0.7039,-13.0,0.08136479230597615,1.0,1000.0,6541.0
330.0,0.703,-13.0,0.07589859515428543,1.0,1000.0,6565.0
331.0,0.7021,-12.0,0.06979894638061523,0.0,1000.0,6568.0
332.0,0.7012,-19.0,0.0722185306251049,0.0,1000.0,6578.0
333.0,0.7002999999999999,-2.0,0.06943666619750169,1.0,1000.0,6591.0
334.0,0.6994,-1.0,0.07029493401447932,1.0,1000.0,6603.0
335.0,0.6984999999999999,-30.0,0.0709705871840318,0.0,1000.0,6633.0
336.0,0.6976,-11.0,0.062241400676694786,1.0,1000.0,6655.0
337.0,0.6967,-16.0,0.07459224705342893,1.0,1000.0,6682.0
338.0,0.6958,-1.0,0.06909964326769114,1.0,1000.0,6694.0
339.0,0.6949,-29.0,0.06627160385251045,0.0,1000.0,6714.0
340.0,0.694,-19.0,0.0696402224401633,1.0,1000.0,6744.0
341.0,0.6931,-17.0,0.06786425458267331,0.0,1000.0,6752.0
342.0,0.6921999999999999,-3.0,0.06820617350084442,1.0,1000.0,6766.0
343.0,0.6913,-3.0,0.06732185956622873,1.0,1000.0,6780.0
344.0,0.6904,-1.0,0.06941859734555085,1.0,1000.0,6792.0
345.0,0.6895,-30.0,0.06075367902716001,0.0,1000.0,6822.0
346.0,0.6886,-2.0,0.06313477800442623,1.0,1000.0,6835.0
347.0,0.6877,-30.0,0.060316746061046915,0.0,1000.0,6865.0
348.0,0.6868000000000001,-30.0,0.06223626472055912,0.0,1000.0,6895.0
349.0,0.6859,-12.0,0.06388055678942929,1.0,1000.0,6918.0
350.0,0.685,-30.0,0.06548744228978952,0.0,1000.0,6948.0
351.0,0.6840999999999999,-1.0,0.07010629524787267,1.0,1000.0,6960.0
352.0,0.6832,-2.0,0.061781552262031116,1.0,1000.0,6973.0
353.0,0.6823,-30.0,0.05964814374844233,0.0,1000.0,7003.0
354.0,0.6814,-30.0,0.06056856115659078,0.0,1000.0,7033.0
355.0,0.6805,-1.0,0.06277375978728135,1.0,1000.0,7045.0
